INFO 2025-10-27 13:53:19,769 autoreload 33276 7692 Watching for file changes with StatReloader
WARNING 2025-10-27 13:53:59,525 log 33276 14088 Not Found: /
WARNING 2025-10-27 13:53:59,526 basehttp 33276 14088 "GET / HTTP/1.1" 404 3629
WARNING 2025-10-27 13:53:59,648 log 33276 14088 Not Found: /favicon.ico
WARNING 2025-10-27 13:53:59,649 basehttp 33276 14088 "GET /favicon.ico HTTP/1.1" 404 3680
INFO 2025-10-27 13:55:27,264 autoreload 33276 7692 C:\Users\USER\Desktop\projects\sat_data_automation_4\server\pipeline_monitoring\settings.py changed, reloading.
INFO 2025-10-27 13:55:28,096 autoreload 24284 6072 Watching for file changes with StatReloader
INFO 2025-10-27 13:55:30,847 autoreload 24284 6072 C:\Users\USER\Desktop\projects\sat_data_automation_4\server\monitoring\models.py changed, reloading.
INFO 2025-10-27 13:55:31,606 autoreload 30616 31740 Watching for file changes with StatReloader
INFO 2025-10-27 13:55:33,226 autoreload 30616 31740 C:\Users\USER\Desktop\projects\sat_data_automation_4\server\monitoring\models.py changed, reloading.
INFO 2025-10-27 13:55:33,949 autoreload 19964 7856 Watching for file changes with StatReloader
INFO 2025-10-27 13:55:36,736 autoreload 19964 7856 C:\Users\USER\Desktop\projects\sat_data_automation_4\server\monitoring\filters.py changed, reloading.
INFO 2025-10-27 13:55:37,435 autoreload 32564 32572 Watching for file changes with StatReloader
INFO 2025-10-27 13:55:40,186 autoreload 32564 32572 C:\Users\USER\Desktop\projects\sat_data_automation_4\server\user\models.py changed, reloading.
INFO 2025-10-27 13:55:41,038 autoreload 36080 32168 Watching for file changes with StatReloader
INFO 2025-10-27 13:55:42,690 autoreload 36080 32168 C:\Users\USER\Desktop\projects\sat_data_automation_4\server\monitoring\admin.py changed, reloading.
INFO 2025-10-27 13:55:43,462 autoreload 16248 23796 Watching for file changes with StatReloader
INFO 2025-10-27 13:55:45,097 autoreload 16248 23796 C:\Users\USER\Desktop\projects\sat_data_automation_4\server\pipeline_monitoring\settings.py changed, reloading.
INFO 2025-10-27 13:55:45,816 autoreload 27656 33240 Watching for file changes with StatReloader
WARNING 2025-10-27 18:36:45,596 log 27656 34104 Unauthorized: /api/dashboard/stats/
WARNING 2025-10-27 18:36:45,596 log 27656 35672 Unauthorized: /api/pipelines/
WARNING 2025-10-27 18:36:45,611 log 27656 30856 Unauthorized: /api/alerts/active/
WARNING 2025-10-27 18:36:45,611 log 27656 33548 Not Found: /api/dashboard/recent-activity/
WARNING 2025-10-27 18:36:45,611 basehttp 27656 35672 "GET /api/pipelines/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:45,611 basehttp 27656 34104 "GET /api/dashboard/stats/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:45,611 log 27656 5676 Not Found: /api/dashboard/pipeline-health/
WARNING 2025-10-27 18:36:45,611 basehttp 27656 30856 "GET /api/alerts/active/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:45,611 basehttp 27656 33548 "GET /api/dashboard/recent-activity/ HTTP/1.1" 404 35433
WARNING 2025-10-27 18:36:45,611 basehttp 27656 5676 "GET /api/dashboard/pipeline-health/ HTTP/1.1" 404 35433
WARNING 2025-10-27 18:36:46,629 log 27656 5676 Unauthorized: /api/pipelines/
WARNING 2025-10-27 18:36:46,629 log 27656 33548 Unauthorized: /api/dashboard/stats/
WARNING 2025-10-27 18:36:46,629 log 27656 30856 Unauthorized: /api/alerts/active/
WARNING 2025-10-27 18:36:46,629 log 27656 35672 Not Found: /api/dashboard/pipeline-health/
WARNING 2025-10-27 18:36:46,654 log 27656 34104 Not Found: /api/dashboard/recent-activity/
WARNING 2025-10-27 18:36:46,654 basehttp 27656 30856 "GET /api/alerts/active/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:46,654 basehttp 27656 33548 "GET /api/dashboard/stats/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:46,654 basehttp 27656 5676 "GET /api/pipelines/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:46,654 basehttp 27656 34104 "GET /api/dashboard/recent-activity/ HTTP/1.1" 404 35433
WARNING 2025-10-27 18:36:46,654 basehttp 27656 35672 "GET /api/dashboard/pipeline-health/ HTTP/1.1" 404 35433
WARNING 2025-10-27 18:36:49,690 log 27656 35672 Unauthorized: /api/pipelines/
